ds,y_pred
2025-03-10,111.65
2025-03-11,111.73
2025-03-12,111.67
2025-03-14,111.86
2025-03-15,110.71
2025-03-16,110.82
2025-03-17,112.0
2025-03-18,112.21
2025-03-19,112.4
2025-03-20,112.52
2025-03-21,112.7
2025-03-22,112.13
2025-03-23,112.3
2025-03-24,113.05
2025-03-25,113.28
2025-03-26,113.44
2025-03-27,113.19
2025-03-28,113.23
2025-03-29,112.27
2025-03-30,112.45
2025-03-31,113.71
2025-04-01,113.48
2025-04-02,113.66
2025-04-03,113.45
2025-04-04,113.16
2025-04-05,112.72
2025-04-06,112.83
2025-04-07,113.1
2025-04-08,113.19
2025-04-09,112.67
2025-04-10,112.58
2025-04-11,112.26
2025-04-12,112.44
2025-04-13,112.45
2025-04-14,111.61
2025-04-15,111.4
2025-04-16,111.21
2025-04-17,111.03
2025-04-18,110.69
2025-04-19,110.88
2025-04-20,110.86
2025-04-21,110.33
2025-04-22,110.33
2025-04-23,110.32
2025-04-24,110.34
2025-04-25,110.26
2025-04-26,110.53
2025-04-27,110.54
2025-04-28,109.86
2025-04-29,109.8
2025-04-30,109.7
2025-05-01,109.3
2025-05-02,109.23
2025-05-03,110.11
2025-05-04,110.14
2025-05-05,108.16
2025-05-06,108.23
2025-05-07,107.74
2025-05-08,107.61
2025-05-09,107.15
2025-05-10,107.82
2025-05-11,107.83
2025-05-12,106.8
2025-05-13,106.76
2025-05-14,106.26
2025-05-15,106.31
2025-05-16,106.34
2025-05-17,107.64
2025-05-18,107.66
2025-05-19,106.46
2025-05-20,106.49
2025-05-21,105.85
2025-05-22,105.87
2025-05-23,105.67
2025-05-24,106.45
2025-05-25,106.5
2025-05-26,105.94
2025-05-27,105.48
2025-05-28,105.61
2025-05-29,105.55
2025-05-30,105.05
2025-05-31,106.44
2025-06-01,106.53
2025-06-02,105.19
2025-06-03,104.93
2025-06-04,104.93
2025-06-05,104.95
2025-06-06,104.79
2025-06-07,106.26
2025-06-08,106.31
2025-06-09,104.85
2025-06-10,104.81
2025-06-11,104.89
2025-06-12,104.88
2025-06-13,104.61
2025-06-14,105.99
2025-06-15,106.03
2025-06-16,104.91
2025-06-17,104.41
2025-06-18,104.39
2025-06-19,106.39
2025-06-20,104.28
2025-06-21,106.11
2025-06-22,106.14
2025-06-23,104.22
2025-06-24,104.17
2025-06-25,104.31
2025-06-26,104.4
2025-06-27,104.38
2025-06-28,106.13
2025-06-29,106.17
2025-06-30,104.68
2025-07-01,103.94
2025-07-02,104.16
2025-07-03,104.19
2025-07-04,104.11
2025-07-05,106.11
2025-07-06,106.17
2025-07-07,104.59
2025-07-08,104.6
2025-07-09,104.71
2025-07-10,104.38
2025-07-11,104.39
2025-07-12,105.98
2025-07-13,106.06
2025-07-14,104.31
2025-07-15,104.32
2025-07-16,104.48
2025-07-17,104.52
2025-07-18,104.4
2025-07-19,106.48
2025-07-20,106.53
2025-07-21,104.44
2025-07-22,104.2
2025-07-23,104.17
2025-07-24,104.15
2025-07-25,104.14
2025-07-26,106.17
2025-07-27,106.18
2025-07-28,104.14
2025-07-29,103.72
2025-07-30,103.89
2025-07-31,103.73
2025-08-01,103.54
2025-08-02,105.75
2025-08-03,105.82
2025-08-04,103.68
2025-08-05,103.62
2025-08-06,103.55
2025-08-07,103.53
2025-08-08,103.77
2025-08-09,106.1
2025-08-10,105.87
2025-08-11,103.75
2025-08-12,103.43
2025-08-13,103.81
2025-08-14,103.57
2025-08-15,103.6
2025-08-16,106.2
2025-08-17,106.31
2025-08-18,104.02
2025-08-19,104.22
2025-08-20,104.4
2025-08-21,104.5
2025-08-22,104.57
2025-08-23,106.96
2025-08-24,107.0
2025-08-25,105.02
2025-08-26,105.02
2025-08-27,105.31
2025-08-28,105.45
2025-08-29,105.48
2025-08-30,107.64
