ds,y_pred
2025-03-03,111.96
2025-03-04,111.94
2025-03-05,111.76
2025-03-07,111.72
2025-03-08,110.46
2025-03-09,110.46
2025-03-10,111.53
2025-03-11,111.63
2025-03-12,111.71
2025-03-13,111.74
2025-03-14,111.81
2025-03-15,110.92
2025-03-16,111.04
2025-03-17,112.0
2025-03-18,112.17
2025-03-19,112.3
2025-03-20,112.05
2025-03-21,112.06
2025-03-22,111.09
2025-03-23,111.26
2025-03-24,112.53
2025-03-25,112.32
2025-03-26,112.51
2025-03-27,112.36
2025-03-28,112.13
2025-03-29,111.76
2025-03-30,111.93
2025-03-31,112.28
2025-04-01,112.46
2025-04-02,112.01
2025-04-03,112.01
2025-04-04,111.79
2025-04-05,112.04
2025-04-06,112.15
2025-04-07,111.44
2025-04-08,111.26
2025-04-09,111.16
2025-04-10,111.01
2025-04-11,110.75
2025-04-12,110.97
2025-04-13,110.99
2025-04-14,110.48
2025-04-15,110.49
2025-04-16,110.49
2025-04-17,110.49
2025-04-18,110.41
2025-04-19,110.66
2025-04-20,110.63
2025-04-21,109.92
2025-04-22,109.83
2025-04-23,109.69
2025-04-24,109.26
2025-04-25,109.15
2025-04-26,110.01
2025-04-27,110.02
2025-04-28,108.1
2025-04-29,108.14
2025-04-30,107.64
2025-05-01,107.47
2025-05-02,107.0
2025-05-03,107.7
2025-05-04,107.71
2025-05-05,106.68
2025-05-06,106.63
2025-05-07,106.15
2025-05-08,106.2
2025-05-09,106.22
2025-05-10,107.52
2025-05-11,107.53
2025-05-12,106.31
2025-05-13,106.31
2025-05-14,105.65
2025-05-15,105.65
2025-05-16,105.41
2025-05-17,106.18
2025-05-18,106.2
2025-05-19,105.15
2025-05-20,105.12
2025-05-21,105.21
2025-05-22,105.13
2025-05-23,104.62
2025-05-24,105.99
2025-05-25,106.04
2025-05-26,105.04
2025-05-27,104.44
2025-05-28,104.45
2025-05-29,104.47
2025-05-30,104.31
2025-05-31,105.79
2025-06-01,105.85
2025-06-02,104.4
2025-06-03,104.37
2025-06-04,104.46
2025-06-05,104.46
2025-06-06,104.24
2025-06-07,105.64
2025-06-08,105.69
2025-06-09,104.56
2025-06-10,104.1
2025-06-11,104.1
2025-06-12,103.97
2025-06-13,103.99
2025-06-14,105.82
2025-06-15,105.86
2025-06-16,103.95
2025-06-17,103.91
2025-06-18,104.04
2025-06-19,106.01
2025-06-20,104.11
2025-06-21,105.85
2025-06-22,105.88
2025-06-23,104.37
2025-06-24,103.58
2025-06-25,103.79
2025-06-26,103.79
2025-06-27,103.77
2025-06-28,105.68
2025-06-29,105.73
2025-06-30,104.12
2025-07-01,104.1
2025-07-02,104.19
2025-07-03,103.82
2025-07-04,103.77
2025-07-05,105.39
2025-07-06,105.46
2025-07-07,103.72
2025-07-08,103.73
2025-07-09,103.9
2025-07-10,103.96
2025-07-11,103.87
2025-07-12,105.97
2025-07-13,106.04
2025-07-14,103.99
2025-07-15,103.8
2025-07-16,103.82
2025-07-17,103.84
2025-07-18,103.86
2025-07-19,105.95
2025-07-20,106.0
2025-07-21,104.0
2025-07-22,103.61
2025-07-23,103.82
2025-07-24,103.68
2025-07-25,103.5
2025-07-26,105.73
2025-07-27,105.8
2025-07-28,103.65
2025-07-29,103.58
2025-07-30,103.5
2025-07-31,103.45
2025-08-01,103.69
2025-08-02,105.98
2025-08-03,105.67
2025-08-04,103.5
2025-08-05,103.13
2025-08-06,103.44
2025-08-07,103.14
2025-08-08,103.11
2025-08-09,105.65
2025-08-10,105.69
2025-08-11,103.34
2025-08-12,103.49
2025-08-13,103.61
2025-08-14,103.68
2025-08-15,103.71
2025-08-16,106.08
2025-08-17,106.09
2025-08-18,104.1
2025-08-19,104.09
2025-08-20,104.41
2025-08-21,104.56
2025-08-22,104.62
2025-08-23,106.82
2025-08-24,106.95
2025-08-25,105.0
2025-08-26,105.1
2025-08-27,105.31
2025-08-28,105.36
2025-08-29,105.38
2025-08-30,107.53
2025-08-31,107.61
2025-09-01,106.27
2025-09-02,105.72
2025-09-03,105.82
2025-09-04,105.78
2025-09-05,105.77
2025-09-06,107.86
