ds,y_pred,y_true,error,perc_error
2025-09-10,105.8,106.84,1.04,0.01
2025-09-11,105.69,107.5,1.81,0.02
2025-09-12,105.6,107.69,2.09,0.02
2025-09-13,,,,
2025-09-14,,,,
2025-09-15,,,,
2025-09-16,105.45,106.89,1.44,0.01
2025-09-17,105.37,106.765,1.39,0.01
2025-09-18,105.27,108.105,2.84,0.03
2025-09-19,105.15,108.295,3.14,0.03
2025-09-20,,,,
2025-09-21,,,,
2025-09-22,,,,
2025-09-23,105.08,108.685,3.61,0.03
2025-09-24,105.16,108.545,3.39,0.03
