ds,y_pred
2025-02-17,112.92
2025-02-18,112.91
2025-02-19,112.76
2025-02-21,112.61
2025-02-22,111.37
2025-02-23,111.33
2025-02-24,112.33
2025-02-25,112.39
2025-02-26,112.3
2025-02-27,112.24
2025-02-28,112.09
2025-03-01,111.09
2025-03-02,111.02
2025-03-03,111.79
2025-03-04,111.72
2025-03-05,111.63
2025-03-06,111.09
2025-03-07,110.91
2025-03-08,109.39
2025-03-09,109.42
2025-03-10,110.83
2025-03-11,110.5
2025-03-12,110.44
2025-03-13,110.14
2025-03-14,109.76
2025-03-15,109.05
2025-03-16,109.2
2025-03-17,109.75
2025-03-18,109.77
2025-03-19,109.31
2025-03-20,109.23
2025-03-21,108.98
2025-03-22,109.26
2025-03-23,109.5
2025-03-24,108.86
2025-03-25,108.77
2025-03-26,108.75
2025-03-27,108.71
2025-03-28,108.58
2025-03-29,108.95
2025-03-30,109.2
2025-03-31,108.94
2025-04-01,109.12
2025-04-02,109.35
2025-04-03,109.57
2025-04-04,109.69
2025-04-05,110.0
2025-04-06,110.15
2025-04-07,109.6
2025-04-08,109.5
2025-04-09,109.34
2025-04-10,108.91
2025-04-11,108.9
2025-04-12,109.59
2025-04-13,109.67
2025-04-14,107.71
2025-04-15,107.83
2025-04-16,107.21
2025-04-17,106.82
2025-04-18,106.2
2025-04-19,106.77
2025-04-20,106.86
2025-04-21,105.91
2025-04-22,105.71
2025-04-23,105.19
2025-04-24,105.33
2025-04-25,105.2
2025-04-26,106.6
2025-04-27,106.7
2025-04-28,105.57
2025-04-29,105.66
2025-04-30,104.89
2025-05-01,104.98
2025-05-02,104.62
2025-05-03,105.33
2025-05-04,105.43
2025-05-05,104.44
2025-05-06,104.46
2025-05-07,104.44
2025-05-08,104.25
2025-05-09,103.69
2025-05-10,105.1
2025-05-11,105.18
2025-05-12,103.78
2025-05-13,103.45
2025-05-14,103.37
2025-05-15,103.42
2025-05-16,103.21
2025-05-17,104.7
2025-05-18,104.79
2025-05-19,103.29
2025-05-20,103.29
2025-05-21,103.37
2025-05-22,103.39
2025-05-23,103.22
2025-05-24,104.64
2025-05-25,104.71
2025-05-26,103.91
2025-05-27,103.16
2025-05-28,103.17
2025-05-29,103.04
2025-05-30,103.09
2025-05-31,104.82
2025-06-01,104.9
2025-06-02,103.05
2025-06-03,103.05
2025-06-04,103.22
2025-06-05,103.3
2025-06-06,103.32
2025-06-07,105.05
2025-06-08,105.12
2025-06-09,103.66
2025-06-10,102.9
2025-06-11,103.11
2025-06-12,103.09
2025-06-13,103.09
2025-06-14,104.98
2025-06-15,105.04
2025-06-16,103.44
2025-06-17,103.43
2025-06-18,103.47
2025-06-19,105.04
2025-06-20,103.05
2025-06-21,104.57
2025-06-22,104.61
2025-06-23,102.83
2025-06-24,102.81
2025-06-25,102.94
2025-06-26,102.96
2025-06-27,102.85
2025-06-28,104.92
2025-06-29,104.97
2025-06-30,102.86
2025-07-01,102.63
2025-07-02,102.63
2025-07-03,102.66
2025-07-04,102.59
2025-07-05,104.77
2025-07-06,104.85
2025-07-07,102.9
2025-07-08,102.56
2025-07-09,102.82
2025-07-10,102.74
2025-07-11,102.63
2025-07-12,104.94
2025-07-13,105.1
2025-07-14,103.04
2025-07-15,103.05
2025-07-16,103.03
2025-07-17,103.06
2025-07-18,103.34
2025-07-19,105.7
2025-07-20,105.45
2025-07-21,103.33
2025-07-22,102.97
2025-07-23,103.3
2025-07-24,102.99
2025-07-25,102.94
2025-07-26,105.45
2025-07-27,105.46
2025-07-28,103.07
2025-07-29,103.15
2025-07-30,103.18
2025-07-31,103.16
2025-08-01,103.1
2025-08-02,105.37
2025-08-03,105.28
2025-08-04,103.18
2025-08-05,103.08
2025-08-06,103.32
2025-08-07,103.38
2025-08-08,103.34
2025-08-09,105.45
2025-08-10,105.48
2025-08-11,103.46
2025-08-12,103.51
2025-08-13,103.67
2025-08-14,103.7
2025-08-15,103.71
2025-08-16,105.89
2025-08-17,105.99
2025-08-18,104.15
