ds,y_pred,y_true,error,perc_error
2025-05-28,103.17,99.84,3.33,0.03
2025-05-29,,,,
2025-05-30,103.09,99.186,3.9,0.04
2025-05-31,,,,
2025-06-01,,,,
2025-06-02,103.05,98.572,4.48,0.05
2025-06-03,103.05,100.14,2.91,0.03
2025-06-04,103.22,100.02,3.2,0.03
2025-06-05,,,,
2025-06-06,103.32,100.475,2.84,0.03
2025-06-07,,,,
2025-06-08,,,,
2025-06-09,,,,
2025-06-10,102.9,100.57,2.33,0.02
2025-06-11,103.11,100.68,2.43,0.02
2025-06-12,,,,
2025-06-13,103.09,99.308,3.78,0.04
2025-06-14,,,,
2025-06-15,,,,
2025-06-16,,,,
2025-06-17,,,,
2025-06-18,,,,
2025-06-19,105.04,99.19804444,5.84,0.06
2025-06-20,103.05,99.232,3.82,0.04
2025-06-21,,,,
2025-06-22,,,,
2025-06-23,102.83,99.122,3.71,0.04
2025-06-24,102.81,100.035,2.78,0.03
2025-06-25,,,,
2025-06-26,102.96,100.12,2.84,0.03
2025-06-27,102.85,100.825,2.02,0.02
2025-06-28,,,,
2025-06-29,,,,
2025-06-30,102.86,100.71,2.15,0.02
2025-07-01,102.63,100.57,2.06,0.02
2025-07-02,102.63,100.9,1.73,0.02
2025-07-03,102.66,102.06,0.6,0.01
2025-07-04,102.59,101.33,1.26,0.01
2025-07-05,,,,
2025-07-06,,,,
2025-07-07,,,,
2025-07-08,102.56,101.735,0.83,0.01
2025-07-09,,,,
2025-07-10,102.74,102.86,0.12,0.0
2025-07-11,102.63,102.335,0.3,0.0
2025-07-12,,,,
2025-07-13,,,,
2025-07-14,103.04,102.435,0.61,0.01
2025-07-15,103.05,103.335,0.28,0.0
2025-07-16,103.03,101.46,1.57,0.02
2025-07-17,,,,
2025-07-18,103.34,103.375,0.03,0.0
2025-07-19,,,,
2025-07-20,,,,
2025-07-21,103.33,103.49,0.16,0.0
2025-07-22,102.97,102.635,0.33,0.0
2025-07-23,103.3,103.24,0.06,0.0
2025-07-24,,,,
2025-07-25,102.94,104.04,1.1,0.01
2025-07-26,,,,
2025-07-27,,,,
2025-07-28,103.07,105.215,2.15,0.02
2025-07-29,103.15,105.74,2.59,0.02
2025-07-30,103.18,106.255,3.07,0.03
2025-07-31,,,,
2025-08-01,103.1,103.29,0.19,0.0
2025-08-02,,,,
2025-08-03,,,,
2025-08-04,103.18,104.375,1.19,0.01
2025-08-05,,,,
2025-08-06,103.32,104.23,0.91,0.01
2025-08-07,103.38,104.215,0.84,0.01
2025-08-08,103.34,104.565,1.22,0.01
2025-08-09,,,,
2025-08-10,,,,
2025-08-11,,,,
2025-08-12,103.51,105.28,1.77,0.02
2025-08-13,103.67,105.385,1.72,0.02
2025-08-14,103.7,106.03,2.33,0.02
2025-08-15,103.71,105.49,1.78,0.02
2025-08-16,,,,
2025-08-17,,,,
2025-08-18,104.15,105.65,1.5,0.01
2025-08-19,104.2,105.54,1.34,0.01
2025-08-20,,,,
2025-08-21,,,,
2025-08-22,104.58,105.845,1.27,0.01
2025-08-23,,,,
2025-08-24,,,,
2025-08-25,105.08,105.935,0.86,0.01
2025-08-26,105.17,105.8,0.63,0.01
2025-08-27,,,,
2025-08-28,,,,
2025-08-29,105.34,105.645,0.3,0.0
2025-08-30,,,,
2025-08-31,,,,
2025-09-01,106.29,105.915,0.38,0.0
2025-09-02,105.68,104.65,1.03,0.01
2025-09-03,,,,
2025-09-04,,,,
2025-09-05,105.72,105.575,0.14,0.0
2025-09-06,,,,
2025-09-07,,,,
2025-09-08,105.79,106.1,0.31,0.0
2025-09-09,,,,
2025-09-10,105.59,106.84,1.25,0.01
2025-09-11,105.49,107.5,2.01,0.02
2025-09-12,105.38,107.69,2.31,0.02
2025-09-13,,,,
2025-09-14,,,,
2025-09-15,,,,
