ds,y_pred,y_true,error,perc_error
2025-02-24,112.58,109.39,3.19,0.03
2025-02-25,112.55,107.365,5.19,0.05
2025-02-26,112.33,108.81,3.52,0.03
2025-02-28,112.15,107.765,4.39,0.04
2025-03-01,,,,
2025-03-02,,,,
2025-03-03,111.79,105.55940274,6.23,0.06
2025-03-04,111.83,104.065,7.76,0.07
2025-03-05,111.78,101.77,10.01,0.1
2025-03-06,111.73,101.955,9.78,0.1
2025-03-07,111.66,99.884,11.78,0.12
2025-03-08,,,,
2025-03-09,,,,
2025-03-10,111.53,99.374,12.16,0.12
2025-03-11,111.57,97.316,14.25,0.15
2025-03-12,111.59,98.126,13.46,0.14
2025-03-13,111.22,97.25,13.97,0.14
2025-03-14,111.15,98.462,12.69,0.13
2025-03-15,,,,
2025-03-16,,,,
2025-03-17,111.44,98.578,12.86,0.13
2025-03-18,111.2,97.938,13.26,0.14
2025-03-19,111.32,99.166,12.15,0.12
2025-03-20,111.12,99.73,11.39,0.11
2025-03-21,110.86,99.424,11.44,0.12
2025-03-22,,,,
2025-03-23,,,,
2025-03-24,111.04,101.68,9.36,0.09
2025-03-25,111.18,101.745,9.44,0.09
2025-03-26,110.76,101.335,9.43,0.09
2025-03-27,110.77,100.8,9.97,0.1
2025-03-28,110.59,98.452,12.14,0.12
2025-03-29,,,,
2025-03-30,,,,
2025-03-31,110.48,97.986,12.49,0.13
2025-04-01,110.39,99.304,11.09,0.11
2025-04-02,110.37,99.316,11.05,0.11
2025-04-03,110.29,93.814,16.48,0.18
2025-04-04,110.12,89.862,20.26,0.23
2025-04-05,,,,
2025-04-06,,,,
2025-04-07,,,,
2025-04-08,110.25,90.516,19.73,0.22
2025-04-09,110.34,85.954,24.39,0.28
2025-04-10,110.43,89.364,21.07,0.24
2025-04-11,110.41,88.364,22.05,0.25
2025-04-12,,,,
2025-04-13,,,,
2025-04-14,110.03,90.802,19.23,0.21
2025-04-15,109.9,91.56,18.34,0.2
2025-04-16,,,,
2025-04-17,109.27,88.738,20.53,0.23
2025-04-18,,,,
2025-04-19,,,,
2025-04-20,,,,
2025-04-21,,,,
2025-04-22,108.12,87.52,20.6,0.24
2025-04-23,,,,
2025-04-24,107.28,91.482,15.8,0.17
2025-04-25,106.74,91.914,14.83,0.16
2025-04-26,,,,
2025-04-27,,,,
2025-04-28,,,,
2025-04-29,106.33,92.592,13.74,0.15
2025-04-30,105.85,92.836,13.01,0.14
2025-05-01,105.94,94.37378223,11.57,0.12
2025-05-02,105.9,95.46,10.44,0.11
2025-05-03,,,,
2025-05-04,,,,
2025-05-05,106.12,95.382,10.74,0.11
2025-05-06,106.15,94.76,11.39,0.12
2025-05-07,,,,
2025-05-08,105.46,96.29,9.17,0.1
2025-05-09,105.16,96.03,9.13,0.1
2025-05-10,,,,
2025-05-11,,,,
2025-05-12,,,,
2025-05-13,104.88,100.7,4.18,0.04
2025-05-14,,,,
2025-05-15,104.77,100.78,3.99,0.04
2025-05-16,104.23,101.545,2.69,0.03
2025-05-17,,,,
2025-05-18,,,,
2025-05-19,104.29,100.795,3.5,0.03
2025-05-20,103.99,100.85,3.14,0.03
