ds,y_pred,y_true,error,perc_error
2025-05-21,103.96,99.884,4.08,0.04
2025-05-22,,,,
2025-05-23,103.8,97.684,6.12,0.06
2025-05-24,,,,
2025-05-25,,,,
2025-05-26,,,,
2025-05-27,,,,
2025-05-28,103.95,99.84,4.11,0.04
2025-05-29,,,,
2025-05-30,103.77,99.186,4.58,0.05
2025-05-31,,,,
2025-06-01,,,,
2025-06-02,104.11,98.572,5.54,0.06
2025-06-03,103.68,100.14,3.54,0.04
2025-06-04,103.69,100.02,3.67,0.04
2025-06-05,,,,
2025-06-06,103.61,100.475,3.14,0.03
2025-06-07,,,,
2025-06-08,,,,
2025-06-09,,,,
2025-06-10,103.56,100.57,2.99,0.03
2025-06-11,103.71,100.68,3.03,0.03
2025-06-12,,,,
2025-06-13,103.8,99.308,4.49,0.05
2025-06-14,,,,
2025-06-15,,,,
2025-06-16,,,,
2025-06-17,,,,
2025-06-18,,,,
2025-06-19,105.37,99.19804444,6.17,0.06
2025-06-20,103.47,99.232,4.24,0.04
2025-06-21,,,,
2025-06-22,,,,
2025-06-23,103.79,99.122,4.67,0.05
2025-06-24,103.76,100.035,3.73,0.04
2025-06-25,,,,
2025-06-26,103.42,100.12,3.3,0.03
2025-06-27,103.4,100.825,2.58,0.03
2025-06-28,,,,
2025-06-29,,,,
2025-06-30,103.21,100.71,2.5,0.02
2025-07-01,103.2,100.57,2.63,0.03
2025-07-02,103.35,100.9,2.45,0.02
2025-07-03,103.39,102.06,1.33,0.01
2025-07-04,103.17,101.33,1.84,0.02
2025-07-05,,,,
2025-07-06,,,,
2025-07-07,,,,
2025-07-08,103.2,101.735,1.47,0.01
2025-07-09,,,,
2025-07-10,103.28,102.86,0.42,0.0
2025-07-11,103.31,102.335,0.98,0.01
2025-07-12,,,,
2025-07-13,,,,
2025-07-14,103.55,102.435,1.11,0.01
2025-07-15,103.19,103.335,0.14,0.0
2025-07-16,103.45,101.46,1.99,0.02
2025-07-17,,,,
2025-07-18,103.21,103.375,0.17,0.0
2025-07-19,,,,
2025-07-20,,,,
2025-07-21,103.51,103.49,0.02,0.0
2025-07-22,103.48,102.635,0.84,0.01
2025-07-23,103.42,103.24,0.18,0.0
2025-07-24,,,,
2025-07-25,103.65,104.04,0.39,0.0
2025-07-26,,,,
2025-07-27,,,,
2025-07-28,103.48,105.215,1.73,0.02
2025-07-29,103.09,105.74,2.65,0.03
2025-07-30,103.39,106.255,2.86,0.03
2025-07-31,,,,
2025-08-01,103.0,103.29,0.29,0.0
2025-08-02,,,,
2025-08-03,,,,
2025-08-04,103.1,104.375,1.28,0.01
2025-08-05,,,,
2025-08-06,103.25,104.23,0.98,0.01
2025-08-07,103.26,104.215,0.95,0.01
2025-08-08,103.22,104.565,1.34,0.01
2025-08-09,,,,
2025-08-10,,,,
2025-08-11,,,,
2025-08-12,103.37,105.28,1.91,0.02
2025-08-13,103.65,105.385,1.73,0.02
2025-08-14,103.76,106.03,2.27,0.02
2025-08-15,103.79,105.49,1.7,0.02
2025-08-16,,,,
2025-08-17,,,,
2025-08-18,104.09,105.65,1.56,0.01
2025-08-19,104.19,105.54,1.35,0.01
2025-08-20,,,,
2025-08-21,,,,
2025-08-22,104.53,105.845,1.31,0.01
2025-08-23,,,,
2025-08-24,,,,
2025-08-25,105.04,105.935,0.89,0.01
2025-08-26,105.09,105.8,0.71,0.01
2025-08-27,,,,
2025-08-28,,,,
2025-08-29,105.38,105.645,0.27,0.0
2025-08-30,,,,
2025-08-31,,,,
2025-09-01,106.3,105.915,0.38,0.0
2025-09-02,105.74,104.65,1.09,0.01
2025-09-03,,,,
2025-09-04,,,,
2025-09-05,105.69,105.575,0.11,0.0
2025-09-06,,,,
2025-09-07,,,,
2025-09-08,105.83,106.1,0.27,0.0
2025-09-09,,,,
2025-09-10,105.74,106.84,1.1,0.01
2025-09-11,105.64,107.5,1.86,0.02
2025-09-12,105.53,107.69,2.16,0.02
2025-09-13,,,,
2025-09-14,,,,
2025-09-15,,,,
2025-09-16,105.24,106.89,1.65,0.02
2025-09-17,105.21,106.765,1.56,0.01
2025-09-18,105.11,108.105,3.0,0.03
2025-09-19,105.0,108.295,3.3,0.03
2025-09-20,,,,
2025-09-21,,,,
2025-09-22,,,,
2025-09-23,104.92,108.685,3.77,0.03
2025-09-24,105.0,108.545,3.55,0.03
2025-09-25,,,,
