ds,y_pred,y_true,error,perc_error
2025-03-03,111.96,105.55940274,6.4,0.06
2025-03-04,111.94,104.065,7.88,0.08
2025-03-05,111.76,101.77,9.99,0.1
2025-03-07,111.72,99.884,11.84,0.12
2025-03-08,,,,
2025-03-09,,,,
2025-03-10,111.53,99.374,12.16,0.12
2025-03-11,111.63,97.316,14.31,0.15
2025-03-12,111.71,98.126,13.58,0.14
2025-03-13,111.74,97.25,14.49,0.15
2025-03-14,111.81,98.462,13.35,0.14
2025-03-15,,,,
2025-03-16,,,,
2025-03-17,112.0,98.578,13.42,0.14
2025-03-18,112.17,97.938,14.23,0.15
2025-03-19,112.3,99.166,13.13,0.13
2025-03-20,112.05,99.73,12.32,0.12
2025-03-21,112.06,99.424,12.64,0.13
2025-03-22,,,,
2025-03-23,,,,
2025-03-24,112.53,101.68,10.85,0.11
2025-03-25,112.32,101.745,10.57,0.1
2025-03-26,112.51,101.335,11.18,0.11
2025-03-27,112.36,100.8,11.56,0.11
2025-03-28,112.13,98.452,13.68,0.14
2025-03-29,,,,
2025-03-30,,,,
2025-03-31,112.28,97.986,14.29,0.15
2025-04-01,112.46,99.304,13.16,0.13
2025-04-02,112.01,99.316,12.69,0.13
2025-04-03,112.01,93.814,18.2,0.19
2025-04-04,111.79,89.862,21.93,0.24
2025-04-05,,,,
2025-04-06,,,,
2025-04-07,,,,
2025-04-08,111.26,90.516,20.74,0.23
2025-04-09,111.16,85.954,25.21,0.29
2025-04-10,111.01,89.364,21.65,0.24
2025-04-11,110.75,88.364,22.39,0.25
2025-04-12,,,,
2025-04-13,,,,
2025-04-14,110.48,90.802,19.68,0.22
2025-04-15,110.49,91.56,18.93,0.21
2025-04-16,,,,
2025-04-17,110.49,88.738,21.75,0.25
2025-04-18,,,,
2025-04-19,,,,
2025-04-20,,,,
2025-04-21,,,,
2025-04-22,109.83,87.52,22.31,0.25
2025-04-23,,,,
2025-04-24,109.26,91.482,17.78,0.19
2025-04-25,109.15,91.914,17.24,0.19
2025-04-26,,,,
2025-04-27,,,,
2025-04-28,,,,
2025-04-29,108.14,92.592,15.55,0.17
2025-04-30,107.64,92.836,14.8,0.16
2025-05-01,107.47,94.37378223,13.1,0.14
2025-05-02,107.0,95.46,11.54,0.12
2025-05-03,,,,
2025-05-04,,,,
2025-05-05,106.68,95.382,11.3,0.12
2025-05-06,106.63,94.76,11.87,0.13
2025-05-07,,,,
2025-05-08,106.2,96.29,9.91,0.1
2025-05-09,106.22,96.03,10.19,0.11
2025-05-10,,,,
2025-05-11,,,,
2025-05-12,,,,
2025-05-13,106.31,100.7,5.61,0.06
2025-05-14,,,,
2025-05-15,105.65,100.78,4.87,0.05
2025-05-16,105.41,101.545,3.86,0.04
2025-05-17,,,,
2025-05-18,,,,
2025-05-19,105.15,100.795,4.36,0.04
2025-05-20,105.12,100.85,4.27,0.04
2025-05-21,105.21,99.884,5.33,0.05
2025-05-22,,,,
2025-05-23,104.62,97.684,6.94,0.07
2025-05-24,,,,
2025-05-25,,,,
2025-05-26,,,,
2025-05-27,,,,
2025-05-28,104.45,99.84,4.61,0.05
2025-05-29,,,,
2025-05-30,104.31,99.186,5.12,0.05
