ds,y_pred,y_true,error,perc_error
2025-05-31,,,,
2025-06-01,,,,
2025-06-02,104.4,98.572,5.83,0.06
2025-06-03,104.37,100.14,4.23,0.04
2025-06-04,104.46,100.02,4.44,0.04
2025-06-05,,,,
2025-06-06,104.24,100.475,3.77,0.04
2025-06-07,,,,
2025-06-08,,,,
2025-06-09,,,,
2025-06-10,104.1,100.57,3.53,0.04
2025-06-11,104.1,100.68,3.42,0.03
2025-06-12,,,,
2025-06-13,103.99,99.308,4.68,0.05
2025-06-14,,,,
2025-06-15,,,,
2025-06-16,,,,
2025-06-17,,,,
2025-06-18,,,,
2025-06-19,106.01,99.19804444,6.81,0.07
2025-06-20,104.11,99.232,4.88,0.05
2025-06-21,,,,
2025-06-22,,,,
2025-06-23,104.37,99.122,5.25,0.05
2025-06-24,103.58,100.035,3.55,0.04
2025-06-25,,,,
2025-06-26,103.79,100.12,3.67,0.04
2025-06-27,103.77,100.825,2.94,0.03
2025-06-28,,,,
2025-06-29,,,,
2025-06-30,104.12,100.71,3.41,0.03
2025-07-01,104.1,100.57,3.53,0.04
2025-07-02,104.19,100.9,3.29,0.03
2025-07-03,103.82,102.06,1.76,0.02
2025-07-04,103.77,101.33,2.44,0.02
2025-07-05,,,,
2025-07-06,,,,
2025-07-07,,,,
2025-07-08,103.73,101.735,2.0,0.02
2025-07-09,,,,
2025-07-10,103.96,102.86,1.1,0.01
2025-07-11,103.87,102.335,1.54,0.02
2025-07-12,,,,
2025-07-13,,,,
2025-07-14,103.99,102.435,1.55,0.02
2025-07-15,103.8,103.335,0.47,0.0
2025-07-16,103.82,101.46,2.36,0.02
2025-07-17,,,,
2025-07-18,103.86,103.375,0.48,0.0
2025-07-19,,,,
2025-07-20,,,,
2025-07-21,104.0,103.49,0.51,0.0
2025-07-22,103.61,102.635,0.97,0.01
2025-07-23,103.82,103.24,0.58,0.01
2025-07-24,,,,
2025-07-25,103.5,104.04,0.54,0.01
2025-07-26,,,,
2025-07-27,,,,
2025-07-28,103.65,105.215,1.56,0.01
2025-07-29,103.58,105.74,2.16,0.02
2025-07-30,103.5,106.255,2.75,0.03
2025-07-31,,,,
2025-08-01,103.69,103.29,0.4,0.0
2025-08-02,,,,
2025-08-03,,,,
2025-08-04,103.5,104.375,0.88,0.01
2025-08-05,,,,
2025-08-06,103.44,104.23,0.79,0.01
2025-08-07,103.14,104.215,1.08,0.01
2025-08-08,103.11,104.565,1.45,0.01
2025-08-09,,,,
2025-08-10,,,,
2025-08-11,,,,
2025-08-12,103.49,105.28,1.79,0.02
2025-08-13,103.61,105.385,1.78,0.02
2025-08-14,103.68,106.03,2.35,0.02
2025-08-15,103.71,105.49,1.78,0.02
2025-08-16,,,,
2025-08-17,,,,
2025-08-18,104.1,105.65,1.55,0.01
2025-08-19,104.09,105.54,1.45,0.01
2025-08-20,,,,
2025-08-21,,,,
2025-08-22,104.62,105.845,1.22,0.01
2025-08-23,,,,
2025-08-24,,,,
2025-08-25,105.0,105.935,0.94,0.01
2025-08-26,105.1,105.8,0.7,0.01
2025-08-27,,,,
2025-08-28,,,,
2025-08-29,105.38,105.645,0.27,0.0
2025-08-30,,,,
2025-08-31,,,,
2025-09-01,106.27,105.915,0.35,0.0
2025-09-02,105.72,104.65,1.07,0.01
2025-09-03,,,,
2025-09-04,,,,
2025-09-05,105.77,105.575,0.19,0.0
2025-09-06,,,,
2025-09-07,,,,
2025-09-08,105.87,106.1,0.23,0.0
2025-09-09,,,,
2025-09-10,105.73,106.84,1.11,0.01
2025-09-11,105.64,107.5,1.86,0.02
2025-09-12,105.52,107.69,2.17,0.02
2025-09-13,,,,
2025-09-14,,,,
2025-09-15,,,,
